file,published_split,width,height,captured_at,boxes,sha256,phash256,exclusion,session,split
IMG_20250504_205349.jpg,train,480,640,2025-05-04T20:53:49,10kg:1;1kg:1;2.5kg:1;25kg:2;zacisk:1,fcc82e0f843bef319021f1b265b07505037dd10f60c38546dfe31b8cb7ee9aeb,8e968f85916b8f9b64e76ba0e8c874e823713b2b62a92c94607c33e90bef2e0f,,8,test
IMG_20251107_101933_jpg,train,640,640,2025-11-07T10:19:33,0.5kg:1;2.5kg:1;20kg:1;25kg:2;zacisk:1,95433dfbcd09086c08826565793f3ceb4e2b32581f6d68938e138be95a0ee93a,a599dab07ce7694ae70869291edb1ea6d284e1080f3b1ed69864f20957bc1ede,,18,train
IMG_20251106_130208.jpg,train,480,640,2025-11-06T13:02:08,0.5kg:1;15kg:1;2.5kg:1;25kg:1;zacisk:1,b13c3e2878422bc4e16402883f161c83612d69bae85f78801d7098e214a0ea71,b1c7c13b0e1c606e2c3ab02fb1af6d1a30bd2ab4ea46d0994e3de981b5a7d6a5,,14,train
IMG_20250908_112658_jpg,train,640,640,2025-09-08T11:26:58,0.5kg:1;15kg:1;zacisk:1,0a63c5ab7233e2947e80544837f023db353fdb23c5fe24fe1bd4eb4a62d4e0b6,cc619936ccc966d93332ccc9992467993366cccdc91933b3cce69a6c663999b2,,9,val
IMG_20250929_123654.jpg,train,480,640,2025-09-29T12:36:54,2.5kg:1;20kg:1;2kg:1;zacisk:1,1548b2f36179bffd73b72aacc3aa103d83bff91b87f74435f7da25fbdc006e9d,87543bab92a6657231cbb0f527319a80db3a4d5b586fd4d7e2a9921c642291fb,,11,train
IMG_20250908_105921_jpg,train,640,640,2025-09-08T10:59:21,0.5kg:1;15kg:1;2.5kg:1;zacisk:1,23b364bce7cf25a497e693144f0c1840167ddbc253ed059a1e1cbb641a8bdc29,ce699b2499b3649b3326ccd39a64619b9933c6d9c6cc64b264c39a4d73996c66,,9,val
IMG_20250504_194704.jpg,train,480,640,2025-05-04T19:47:04,1.5kg:1;10kg:1;2.5kg:1;25kg:1;zacisk:1,cd82e8fcd7c1611940be19a32daa5879eb5e32953f7d24afd7adfbd6bc39f681,806d9c929996846daf69d96d3ecc89dd16b2886576eeabb9a7884813816f7698,,7,test
IMG_20251009_121436.jpg,train,480,640,2025-10-09T12:14:36,0.5kg:1;10kg:1;2.5kg:1;zacisk:1,cbac067ddb2dd8e44bdea521a69e3d1fe79155d8526926d1a57d5b317844873e,a2d6a0ec5fea2c2ecf82b1cfb3f4d771957d9254b12dbde2143687005386484e,,12,val
IMG_20250908_105859_jpg,train,640,640,2025-09-08T10:58:59,1.5kg:1;15kg:1;2.5kg:1;zacisk:1,b7936e773264c9f1e69b4d86fd007942020e7b280e5e6ac4db786e783b842f9a,ce699b24993364db3326cccb9b6431931933c4d9679c65b26ce38e4963996726,,9,val
IMG_20250929_123906.jpg,train,480,640,2025-09-29T12:39:06,1kg:1;2.5kg:1;20kg:1;zacisk:1,ce7297c631230bfff4606cd89bf718a1b97720a304125737406ff28b4f572d55,925aaf20c9a232f83f449dd23074ccb9e82d62586fe4c992bcad9cdf31699768,,11,train
